,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
0,1,2001: A Space Odyssey,1968,8.3,82.0,533017,56954992.0,"Adventure, Sci-Fi",149.0,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","After discovering a mysterious artifact buried beneath the lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL 9000."
1,2,Once Upon a Time in the West,1968,8.5,80.0,266884,5321508.0,Western,165.0,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
2,3,Rosemary's Baby,1968,8.0,96.0,167435,,"Drama, Horror",137.0,Roman Polanski,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer","A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life."
3,4,Planet of the Apes,1968,8.0,79.0,154752,33395426.0,"Adventure, Sci-Fi",112.0,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
4,5,Night of the Living Dead,1968,7.9,89.0,103830,89029.0,Horror,96.0,George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman","There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these bloodthirsty, flesh-eating monsters."
5,6,Bullitt,1968,7.5,83.0,54658,42300873.0,"Action, Crime, Mystery",114.0,Peter Yates,"Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon","An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection."
6,7,Where Eagles Dare,1968,7.7,,46967,,"Action, Adventure, War",158.0,Brian G. Hutton,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark",Allied agents stage a daring raid on a castle where the Nazis are holding an American General prisoner... but that's not all that's really going on.
7,8,Chitty Chitty Bang Bang,1968,6.9,,37088,,"Adventure, Family, Fantasy",144.0,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Benny Hill","A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land."
8,9,The Party,1968,7.6,,34463,,Comedy,99.0,Blake Edwards,"Peter Sellers, Claudine Longet, Natalia Borisova, Jean Carson",A clerical mistake results in a bumbling Indian film star being invited to an exclusive Hollywood party instead of being fired.
9,10,Hang 'Em High,1968,7.0,62.0,31287,,Western,114.0,Ted Post,"Clint Eastwood, Inger Stevens, Pat Hingle, Ed Begley","When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice."
10,11,Oliver!,1968,7.5,,31056,16800000.0,"Drama, Family, Musical",153.0,Carol Reed,"Mark Lester, Ron Moody, Shani Wallis, Oliver Reed","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor."
11,12,The Odd Couple,1968,7.7,86.0,28922,44527234.0,Comedy,105.0,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman","Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day."
12,13,Barbarella,1968,5.9,51.0,28864,,"Adventure, Comedy, Fantasy",98.0,Roger Vadim,"Jane Fonda, John Phillip Law, Anita Pallenberg, Milo O'Shea","Barbarella, an astronaut from the 41st century, sets out to find and stop the evil scientist Durand Durand, whose Positronic Ray threatens to bring evil back into the galaxy."
13,14,Romeo and Juliet,1968,7.6,,26895,38901218.0,"Drama, Romance",138.0,Franco Zeffirelli,"Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea","When two young members of feuding families meet, forbidden love ensues."
14,15,The Lion in Winter,1968,8.1,,26627,22276975.0,"Biography, Drama, History",134.0,Anthony Harvey,"Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him."
15,16,Yellow Submarine,1968,7.4,79.0,22351,992305.0,"Animation, Adventure, Comedy",90.0,George Dunning,"Paul McCartney, George Harrison, Ringo Starr, John Lennon",The Beatles agree to accompany Captain Fred in his Yellow Submarine and go to Pepperland to free it from the music hating Blue Meanies.
16,17,The Thomas Crown Affair,1968,7.0,66.0,20046,,"Crime, Drama, Romance",102.0,Norman Jewison,"Steve McQueen, Faye Dunaway, Paul Burke, Jack Weston","A debonair, adventuresome bank executive believes he has pulled off the perfect multi-million dollar heist, only to match wits with a sexy insurance investigator who will do anything to get her man."
17,18,If....,1968,7.6,,19833,,Drama,111.0,Lindsay Anderson,"Malcolm McDowell, David Wood, Richard Warwick, Christine Noonan","In this allegorical story, a revolution led by pupil Mick Travis takes place at an old established private school in England."
18,19,Funny Girl,1968,7.6,89.0,16419,223306.0,"Biography, Comedy, Drama",151.0,William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis","The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein."
19,20,Vargtimmen,1968,7.7,,15601,,"Drama, Horror",90.0,Ingmar Bergman,"Max von Sydow, Liv Ullmann, Gertrud Fridh, Georg Rydeberg","While vacationing on a remote Scandanavian island with his younger pregnant wife, an artist has an emotional breakdown while confronting his repressed desires."
20,21,Coogan's Bluff,1968,6.5,,13942,,"Action, Comedy, Crime",93.0,Don Siegel,"Clint Eastwood, Lee J. Cobb, Susan Clark, Tisha Sterling",An Arizona deputy sheriff is sent to New York City to escort an escaped fugitive back for trial.
21,22,The Love Bug,1968,6.5,48.0,12535,,"Comedy, Family, Sport",108.0,Robert Stevenson,"Dean Jones, Michele Lee, David Tomlinson, Buddy Hackett",A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.
